domainID	domainName
cd00116	leucine-rich repeat domain-containing protein
cd04106	Ras-related protein Rab23
cd00075	sensor histidine kinase
COG3105	YhcB family protein
pfam13850	ERGIC family protein
TIGR00617	RPA1 family protein
pfam01776	60S ribosomal protein L22
pfam02383	SAC family polyphosphoinositide phosphatase
TIGR00212	hydroxymethylbilane synthase
PRK09428	CDP-diacylglycerol--serine O-phosphatidyltransferase
cl28715	zinc finger and BTB domain-containing protein 26
pfam01510	N-acetylmuramoyl-L-alanine amidase
pfam02676	tRNA wybutosine-synthesizing 3 family protein
cd00342	porin
PLN00020	ribulose bisphosphate carboxylase/oxygenase activase
PRK11913	phenylalanine 4-monooxygenase
cd02674	ubiquitin carboxyl-terminal hydrolase
PRK11038	DUF2496 domain-containing protein
cl30851	flagellar basal body rod protein FlgC
pfam01248	ribosomal L7Ae/L30e/S12e/Gadd45 family protein
PRK07823	5 -methylthioadenosine phosphorylase
PLN02401	diacylglycerol o-acyltransferase
pfam13040	FbpB family small basic protein
pfam12047	DNA (cytosine-5)-methyltransferase 1
PLN02800	imidazoleglycerol-phosphate dehydratase
cd01560	threonine synthase
smart00228	GIPC family PDZ domain-containing protein
pfam02055	glycoside hydrolase family 30 protein
cd06382	glutamate receptor ionotropic, kainate
PRK15028	cytochrome d ubiquinol oxidase subunit II
CHL00058	cytochrome b6/f complex subunit IV
cl35019	ubiquitin carboxyl-terminal hydrolase
cd20307	cupin domain-containing protein
cd12872	SPRY domain-containing protein
PRK15122	magnesium-translocating P-type ATPase
pfam03227	GILT family protein
pfam01230	HIT domain-containing protein
cd16964	RuvX/YqgF family protein
cd03769	IS607 family transposase
cd02145	5,6-dimethylbenzimidazole synthase
pfam17377	DUF5399 domain-containing protein
TIGR00405	transcription elongation factor Spt5
pfam13857	ankyrin repeat domain-containing protein
cd17350	peptide MFS transporter
pfam02194	PX domain-containing protein
PRK08947	acetyl-CoA C-acyltransferase FadA
COG4150	sulfate ABC transporter substrate-binding protein
pfam10834	DUF2560 family protein
pfam01594	AI-2E family transporter
pfam10572	myeloid-derived growth factor
cd08267	NAD(P)-dependent alcohol dehydrogenase
TIGR04091	D-alanyl-lipoteichoic acid biosynthesis protein DltB
cd16027	sulfatase
pfam05071	complex I NDUFA12 subunit family protein
cl12380	INTS13 family protein
pfam02042	NLP family protein
cd14392	E3 ubiquitin-protein ligase CBL-B
PRK07710	acetolactate synthase large subunit
pfam04133	Vps55 family protein
cd00431	cysteine hydrolase
COG1912	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein
COG2870	cytidylyltransferase family protein
cd04824	porphobilinogen synthase
TIGR01844	TolC family outer membrane protein
PRK05471	CDP-diacylglycerol diphosphatase
cl21473	transporter permease
pfam10938	YfdX family protein
TIGR01061	DNA topoisomerase IV subunit A
TIGR03232	benzoate 1,2-dioxygenase small subunit
COG3935	DnaD domain-containing protein
cd13400	lytic transglycosylase domain-containing protein
cd00012	ROK family transcriptional regulator
cd04048	copine
pfam00398	rRNA adenine N(6)-methyltransferase family protein
cd13537	molybdate ABC transporter substrate-binding protein
cd11733	molecular chaperone DnaK
cd03040	prostaglandin E synthase 2
COG0863	site-specific DNA-methyltransferase
cl34287	alpha/beta hydrolase
TIGR00926	MFS transporter
pfam06293	lipopolysaccharide kinase InaA family protein
cd17374	solute carrier organic anion transporter
pfam14042	DUF4247 domain-containing protein
pfam14157	YmzC family protein
pfam12044	zinc metalloproteinase family protein
cl33597	glutamate--tRNA ligase
pfam10502	S26 family signal peptidase
PRK10543	superoxide dismutase
cl36129	non-ribosomal peptide synthetase
pfam11667	DUF3267 domain-containing protein
cl12013	BAR and SH3 domains-containing protein
cd17476	MDR family MFS transporter
cd06389	glutamate receptor
cd05579	serine/threonine-protein kinase
COG4470	YutD family protein
cd01630	HAD-IIIA family hydrolase
pfam10295	DUF2406 domain-containing protein
PRK11396	environmental stress-induced protein Ves
pfam05811	FAM136 family protein
PRK11534	DNA-binding transcriptional regulator CsiR
cd14181	phosphorylase b kinase gamma catalytic chain, liver/testis isoform
COG2814	MFS transporter
pfam10342	GPI anchored serine-threonine rich family protein
pfam14908	CCDC81 family HU domain 1-containing protein
pfam00631	guanine nucleotide-binding protein subunit gamma
PRK06912	dihydrolipoyl dehydrogenase
PRK02833	phosphate-starvation-inducible protein PsiE
pfam02170	argonaute/piwi family protein
cd10521	SET and MYND domain-containing protein 5
pfam12708	right-handed parallel beta-helix repeat-containing protein
PRK08043	bifunctional acyl-ACP--phospholipid O-acyltransferase/long-chain-fatty-acid--ACP ligase
pfam06062	YacL family protein
cd03760	proteasome subunit beta
cd01310	TatD family hydrolase
TIGR01649	hnRNP-L/PTB/hephaestus splicing factor family protein
pfam10060	O-antigen ligase family protein
COG3711	BglG family transcription antiterminator
pfam01290	thymosin beta
cd03879	M28 family metallopeptidase
TIGR01141	histidinol-phosphate transaminase
cd16556	RING finger protein 183
pfam16919	serine/threonine-protein kinase
