domainID	domainName
TIGR00810	preprotein translocase subunit SecG
PRK09267	flavodoxin
pfam05571	JKAMP family protein
pfam13903	PMP-22/EMP/MP20 family protein
cd01159	flavin-dependent monooxygenase
pfam11891	RETICULATA family protein
pfam09159	mitochondrial RNA-splicing protein MRS1
cl35027	Sin3 family protein
pfam01625	peptide-methionine (S)-S-oxide reductase
PRK12596	Na+/H+ antiporter subunit E
cd06964	retinoic acid receptor
pfam13894	POZ-, AT hook-, and zinc finger-containing protein 1
cl11961	aldehyde dehydrogenase family protein
TIGR02869	spore cortex-lytic enzyme
PRK15339	EscC/YscC/HrcC family type III secretion system outer membrane ring protein
PRK01345	zinc metalloprotease HtpX
pfam09527	AtpZ/AtpI family protein
pfam00335	CD63 antigen
PRK11040	metalloprotease PmbA
cd01150	acyl-CoA oxidase
COG5143	synaptobrevin family protein
PRK03522	methyltransferase domain-containing protein
cd03500	succinate dehydrogenase hydrophobic membrane anchor subunit
COG2021	alpha/beta fold hydrolase family protein
cd16812	E3 ubiquitin-protein ligase MARCH7
smart00751	BSD domain-containing protein
pfam15136	UPF0449 family protein
cd00712	asparagine synthetase B
pfam07555	protein O-GlcNAcase
pfam04407	DUF531 domain-containing protein
pfam04699	actin-related protein 2/3 complex subunit 5 family protein
pfam15075	DUF4542 domain-containing protein
cd01543	xylose operon transcription regulator XylR
pfam13837	SANT/Myb-like DNA-binding domain-containing protein
pfam04802	SMEK family protein
PRK05457	heat shock protein HtpX
PRK10026	arsenate reductase (glutaredoxin)
COG1713	HD domain-containing protein
pfam05653	DMT family transporter
pfam11640	ATM family serine/threonine-protein kinase
pfam10319	class J serpentine receptor
cl29529	biosynthetic peptidoglycan transglycosylase
PRK09444	NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta
PRK02797	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
cd16269	liprin-alpha
pfam07233	YcfL family protein
cd02241	germin family protein
COG4778	phosphonate C-P lyase system protein PhnL
pfam00194	carbonic anhydrase family protein
cd03017	peroxiredoxin
PRK02047	YbeD family protein
pfam04391	tellurite resistance TerB family protein
cd14833	AP-2 complex subunit sigma
PRK10629	EnvZ/OmpR regulon moderator MzrA
pfam04117	Mpv17/PMP22 family protein
PRK13299	CCA tRNA nucleotidyltransferase
pfam03793	serine/threonine protein kinase
cd08221	serine/threonine-protein kinase Nek9
pfam04589	RFX family transcription factor
PRK15479	response regulator transcription factor TctD
PRK12271	30S ribosomal protein S10
pfam14420	Clr5 domain-containing protein
cd14662	SRK/SAPK family serine/threonine-protein kinase
PRK10919	DNA helicase Rep
PRK15418	transcriptional regulator LsrR
pfam12566	DUF3748 domain-containing protein
pfam02566	OsmC family protein
pfam13620	carboxypeptidase-like regulatory domain-containing protein
PRK10378	iron uptake system protein EfeO
cd16255	parvalbumin beta
cl38334	receptor-like protein kinase family protein
COG0395	carbohydrate ABC transporter permease
pfam11151	YjzD family protein
cd18617	glycoside hydrolase family 43 protein
TIGR03968	TetR/AcrR family transcriptional regulator
COG3274	acyltransferase
cl19596	M29 family metallopeptidase
cl02091	glycosyltransferase family 15 protein
pfam11514	YkvR family protein
cl24538	CARMIL family protein
pfam07348	SecY-interacting protein Syd
pfam10358	N-terminal C2 domain-containing protein
COG3160	sigma D regulator
MTH00108	NADH dehydrogenase subunit 5
CHL00001	DNA-directed RNA polymerase subunit beta
cd21605	RNA-binding protein
pfam00349	hexokinase family protein
TIGR02801	ExbD/TolR family protein
PRK13188	bifunctional UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase/3-hydroxyacyl-ACP dehydratase
PRK11595	DNA utilization protein GntX
cl24607	CFAP61 family protein
TIGR02856	YabP/YqfC family sporulation protein
cd14227	homeodomain-interacting protein kinase 2
PRK11579	oxidoreductase
COG2353	YceI family protein
pfam03126	RNA polymerase-associated RTF1 family protein
TIGR01357	pentafunctional AROM polypeptide
PRK10622	bifunctional chorismate mutase/prephenate dehydratase
cd03817	glycosyltransferase family 4 protein
PRK10726	DUF3561 domain-containing protein
cd13962	prenyltransferase
PRK09412	anaerobic C4-dicarboxylate transporter
sd00010	SEL1-like repeat protein
pfam11744	FUSC family protein
pfam04172	LrgB family protein
cd12821	magnesium transporter CorA family protein
PRK04282	exosome complex protein Rrp42
pfam13915	FAM214 family protein
PTZ00038	ferredoxin
pfam07856	orai family protein
COG5487	DUF1328 domain-containing protein
pfam06427	UDP-glucose:glycoprotein glucosyltransferase
pfam00530	scavenger receptor cysteine-rich domain-containing protein
cd05212	formate--tetrahydrofolate ligase
pfam14027	questin oxidase family protein
pfam09811	Yae1 family protein
PRK05749	3-deoxy-D-manno-octulosonic acid transferase
cd03751	proteasome subunit alpha
MTH00094	NADH dehydrogenase subunit 4
COG1158	transcription termination factor Rho
TIGR02493	pyruvate formate lyase-activating protein
TIGR00834	anion exchange protein
cl00314	uS10 family ribosomal protein
PRK10792	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
cl14603	C2 domain-containing protein
pfam00261	tropomyosin
PRK02910	ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B
COG4795	type II secretion system protein J
pfam09864	MliC family protein
COG1328	anaerobic ribonucleoside-triphosphate reductase
PRK11180	23S rRNA pseudouridine(1911/1915/1917) synthase RluD
pfam02321	TolC family protein
COG1485	AFG1-like ATPase family protein
COG1730	prefoldin subunit alpha family protein
cd15553	CXXC-type zinc finger protein 1
cd06185	PDR/VanB family oxidoreductase
PRK11365	aliphatic sulfonate ABC transporter permease SsuC
cd03195	glutathione S-transferase
pfam07774	ER membrane protein complex subunit 1
pfam12716	Apq12 family protein
cl10925	MVB12 family protein
pfam10164	brain protein I3
pfam08938	translation elongation factor EF1A family protein
pfam01977	UbiD family decarboxylase
COG5404	cell division inhibitor SulA
pfam12802	ROK family transcriptional regulator
pfam07289	Bardet-Biedl syndrome 5 protein
cd04051	C2 domain-containing protein
PRK09425	MmgE/PrpD family protein
COG5452	ubiquinol-cytochrome C chaperone family protein
TIGR00551	L-aspartate oxidase
COG0137	argininosuccinate synthase
cd18983	MRG family protein
COG1788	3-oxoacid CoA-transferase
PRK05658	RNA polymerase sigma factor RpoD
TIGR03035	arylformamidase
cd18208	zinc finger and BTB domain-containing protein 20
PRK13818	ribosome-binding factor A
cd06180	YbfB/YjiJ family MFS transporter
PRK11303	catabolite repressor/activator
pfam05351	PDE6D/unc-119 family protein
cd01364	kinesin family protein
pfam00514	armadillo/beta-catenin-like repeat-containing protein
cd18219	transcriptional regulator Kaiso
pfam08876	DUF1836 domain-containing protein
cd02955	thioredoxin domain-containing protein
cd15635	pygopus homolog 1
cd17356	sugar porter family MFS transporter
cl24472	NOSIP family E3 ubiquitin-protein ligase
COG0440	acetolactate synthase small subunit
cd01899	Ygr210 GTPase family protein
cd14717	bZIP transcription factor
cd08748	rhodopsin kinase GRK1
cd02569	tRNA pseudouridine synthase
COG0739	M23 family metallopeptidase
cl04775	TMEM45 family protein
cd07581	carbon-nitrogen hydrolase family protein
cd13179	Ran-binding domain-containing protein
COG4985	phosphate ABC transporter permease PstA
cl36861	thioredoxin-disulfide reductase
pfam11069	CFAP298 family protein
cl26746	DMT family protein
PRK09633	DNA ligase D
COG1025	insulinase family protein
TIGR01271	cystic fibrosis transmembrane conductance regulator
PRK10206	oxidoreductase
cd06646	mitogen-activated protein kinase kinase kinase kinase 5
cl17279	dihydrofolate reductase family protein
pfam07064	RIC1 family protein
PRK11097	endoglucanase
cd01132	ATP synthase subunit alpha
cd12459	polyadenylate-binding protein-interacting protein
PRK10836	amino acid permease
PRK10920	uroporphyrinogen-III C-methyltransferase
pfam02622	YqgE/AlgH family protein
cd10162	histone deacetylase 4
pfam00902	preprotein translocase subunit TatC
cl30116	amino acid permease family protein
pfam13356	integrase family protein
pfam03744	6-carboxyhexanoate--CoA ligase
pfam07126	cell division protein ZapC
cd02009	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
pfam13371	tetratricopeptide repeat protein
COG3584	3D domain-containing protein
COG4126	aspartate/glutamate racemase family protein
cl04698	radial spoke head family protein
cl02623	RYK family tyrosine-protein kinase
pfam05157	type II/IV secretion system protein
PRK09581	PleD family two-component system response regulator
pfam00648	calpain
cd20625	cytochrome P450
cd08044	transcription initiation factor TFIID subunit 5
cd07018	S49 family peptidase
pfam15397	DUF4618 domain-containing protein
pfam14166	YueH family protein
PRK09453	metallophosphoesterase
TIGR03616	pyrimidine utilization transport protein G
PRK12704	ribonuclease Y
COG3247	HdeD family acid-resistance protein
COG3023	N-acetylmuramoyl-L-alanine amidase
PRK03879	ribonuclease P protein component 1
cl00613	next to BRCA1 gene 1 protein
pfam04841	VPS16 family protein
pfam11167	DUF2953 domain-containing protein
cd11281	drebrin-like protein
pfam06258	mitochondrial fission ELM1 family protein
PRK03641	DUF2057 domain-containing protein
cd03598	C-type lectin domain-containing protein
COG0099	ribosomal protein uS13
PRK10766	two-component system response regulator TorR
cd14951	NHL repeat-containing protein
pfam03721	nucleotide sugar dehydrogenase
pfam15012	single-pass membrane and coiled-coil domain-containing protein 4
pfam07492	alpha,alpha-trehalase
cd01723	U6 snRNA-associated Sm-like protein LSm4
cd01990	ATP-dependent sacrificial sulfur transferase LarE
cd07106	aldehyde dehydrogenase family protein
pfam01261	sugar phosphate isomerase/epimerase family protein
pfam05142	SHI family protein
COG3073	sigma-E factor negative regulatory protein
PRK00326	division/cell wall cluster transcriptional repressor MraZ
pfam05402	PqqD family protein
PRK10715	flagella biosynthesis regulator
cd03270	excinuclease ABC subunit UvrA
cd05813	starch-binding domain-containing protein 1
pfam06947	small basic family protein
cd18932	Max dimerization protein 3
pfam00329	NADH-quinone oxidoreductase subunit C
cd13969	AarF/ABC1/UbiB kinase family protein
pfam10551	transposase
COG3534	alpha-N-arabinofuranosidase
cd17453	major facilitator superfamily domain-containing protein 4A
MTH00092	NADH dehydrogenase subunit 3
PHA00280	HNH endonuclease
cd01298	amidohydrolase
cd06861	PX and BAR domain-containing protein
PLN00116	elongation factor 2
smart00380	AP2/ERF family transcription factor
cd01544	LacI family DNA-binding transcriptional regulator
COG1593	TRAP transporter large permease
pfam09003	site-specific integrase
PTZ00242	protein-tyrosine phosphatase type IVA family protein
cd08207	ribulose-bisphosphate carboxylase large subunit family protein
COG2885	OmpA family protein
smart00854	CapA family protein
COG4681	YaeQ family protein
cd07657	tyrosine-protein kinase Fer
PRK11671	membrane-bound lytic murein transglycosylase C
cl22392	glycoside hydrolase family 95 protein
cl23748	bMERB family protein
PRK06029	UbiX family flavin prenyltransferase
cl21572	GatB/YqeY domain-containing protein
pfam00379	chitin-binding domain-containing protein
pfam09649	histone H2A.Z-specific chaperone CHZ1
pfam07383	YnjH family protein
cl36741	SLC26A/SulP family transporter
pfam00850	histone deacetylase
pfam03057	DUF236 domain-containing protein
TIGR03569	N-acetylneuraminate synthase family protein
PRK08578	protein translocase subunit SecF
PTZ00168	solute carrier family 25 protein
pfam05567	pilus assembly protein
COG2200	RNase E specificity factor CsrD
PHA00739	V1/V3 family capsid protein
pfam12819	receptor-like serine/threonine-protein kinase
cl34937	BMS1 family protein
COG3302	dimethyl sulfoxide reductase anchor subunit family protein
cd12916	vitamin K epoxide reductase family protein
TIGR02765	DASH family cryptochrome
pfam01657	cysteine-rich receptor-like protein kinase family protein
pfam00642	zinc finger CCCH domain-containing protein
cd12382	RNA-binding protein
cl13471	TMEM8 family protein
cd12398	RNA-binding protein
pfam15933	type II toxin-antitoxin system RnlB family antitoxin
PRK00395	RNA chaperone Hfq
PRK15003	cytochrome d ubiquinol oxidase subunit II
cd00331	indole-3-glycerol-phosphate synthase
cd17452	major facilitator superfamily domain-containing protein 2B
pfam13743	ClpXP adapter SpxH family protein
PRK15107	glutamate/aspartate ABC transporter permease GltK
PRK06665	flagellar hook-associated protein FlgK
PRK13450	F0F1 ATP synthase subunit epsilon
cd08195	pentafunctional AROM polypeptide
pfam07335	glycoside hydrolase family 75 protein
cd04336	YbaK/prolyl-tRNA synthetase associated domain-containing protein
PRK11916	electron transfer flavoprotein subunit alpha family protein
COG4473	ABC transporter permease
PLN02407	diphosphomevalonate decarboxylase
COG4481	DUF951 domain-containing protein
cd05384	CAP domain-containing protein
smart00164	TBC domain-containing protein
pfam12260	divergent protein kinase domain-containing protein
cl30717	translation initiation factor IF-2 family protein
cd03205	glutathione S-transferase family protein
pfam03733	calcium:cation antiporter family protein
PRK00039	crossover junction endodeoxyribonuclease RuvC
cl25479	eL18 family ribosomal protein
PRK11890	phosphate acetyltransferase
pfam03172	nuclear body protein
cl00042	caspase family protein
pfam01901	oligosaccharide repeat unit polymerase family protein
cd07394	vacuolar protein sorting-associated protein 29
pfam08066	RRP6 family protein
pfam04389	M28 family metallopeptidase
smart00886	Dabb family protein
TIGR03150	beta-ketoacyl-[acyl-carrier-protein] synthase II
cd00799	site-specific integrase
COG5594	CSC1 family protein
PTZ00419	valine--tRNA ligase
PRK10916	ADP-heptose--LPS heptosyltransferase RfaF
pfam10162	G8 domain-containing protein
PRK09738	type I toxin-antitoxin system Hok family toxin
pfam06856	DUF1251 domain-containing protein
COG2165	type II secretion system protein
COG5600	PCI domain-containing protein
pfam05173	4-hydroxy-tetrahydrodipicolinate reductase
pfam10483	ELP5 family protein
COG2157	60S ribosomal protein L18A
cd11397	basic helix-loop-helix domain-containing protein
PRK11783	23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))-methyltransferase
COG0038	chloride channel protein
PRK05434	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
pfam04144	secretory carrier-associated membrane protein
PRK13300	CCA tRNA nucleotidyltransferase
PRK05301	pyrroloquinoline quinone biosynthesis protein PqqE
COG0589	universal stress protein
pfam07179	SseB family protein
COG2075	eL24 family ribosomal protein
pfam07691	glycoside hydrolase family 3 protein
cl20812	cilia- and flagella-associated protein 300
PRK05082	N-acetylmannosamine kinase
cd04016	toll-interacting protein
pfam08648	SNUT3/LISCH7 family protein
pfam16576	efflux RND transporter periplasmic adaptor subunit
COG1499	60S ribosomal export protein NMD3
COG1003	glycine dehydrogenase
pfam02894	Gfo/Idh/MocA family oxidoreductase
pfam05598	transposase
cd08588	PI-PLC domain-containing protein
cl13250	zinc finger and BTB domain-containing protein 38
PRK01747	bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC
pfam10328	serpentine type G-protein coupled receptor
pfam08652	DXO/RAI1 family decapping nuclease
cd10564	ferredoxin-type protein NapF
pfam15744	protein SLX4IP
PRK11121	anaerobic ribonucleoside-triphosphate reductase-activating protein
cl01738	YjgN family protein
pfam09831	DUF2058 domain-containing protein
PRK01236	S-adenosylmethionine decarboxylase
pfam04439	aminoglycoside 6-adenylyltransferase
PTZ00281	actin
pfam08695	cytochrome c oxidase assembly factor 1 family protein
PRK09230	cytosine deaminase
pfam09435	DUF2015 domain-containing protein
pfam01924	HypD family hydrogenase formation protein
pfam02924	head decoration protein
PRK07867	long-chain-fatty-acid--CoA ligase
cd02988	phosducin family protein
COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
pfam10235	cysteine-rich PDZ-binding protein
TIGR04380	inositol 2-dehydrogenase
PRK12737	tagatose-bisphosphate aldolase subunit GatY
cd01874	cell division control 42 family protein
cl34397	gamma-glutamyl-gamma-aminobutyrate hydrolase family protein
pfam11947	PAM68 family protein
pfam06014	YqgQ family protein
PRK11380	DUF1266 domain-containing protein
cd19164	aldo/keto reductase
pfam00568	neural Wiskott-Aldrich syndrome protein
PLN02734	glycine--tRNA ligase
PRK00647	DUF167 domain-containing protein
pfam13194	MgtC/SapB family protein
cd14089	MAP kinase-activated protein kinase
PRK14116	2,3-diphosphoglycerate-dependent phosphoglycerate mutase
cd00302	cytochrome P450
cd01764	ubiquitin-related modifier 1
PRK10711	LrgB family protein
pfam06688	DUF1187 family protein
pfam10748	DUF2531 family protein
cd00484	phosphoenolpyruvate carboxykinase (ATP)
cd07995	thiamine pyrophosphokinase
pfam01795	16S rRNA (cytosine(1402)-N(4))-methyltransferase
cd11566	SUI1 family translation initiation factor
pfam17098	WTAP/Mum2p family protein
PLN02943	valine--tRNA ligase
pfam02037	SAP domain-containing protein
pfam05241	emopamil-binding family protein
pfam10607	MAEA family protein
COG0656	aldo/keto reductase
cl00230	undecaprenyl diphosphate synthase family protein
pfam13702	lysozyme family protein
COG3681	serine dehydratase subunit alpha family protein
PRK09645	sigma-70 family RNA polymerase sigma factor
cd04753	COMM domain-containing protein 5
PRK08566	DNA-directed RNA polymerase subunit A 
TIGR00558	pyridoxal 5 -phosphate synthase
cl02089	phage virion morphogenesis protein
cd12125	allophycocyanin subunit alpha-B
cl21110	DUF4588 domain-containing protein
cd11057	cytochrome P450
pfam05495	RING finger/CHY zinc finger protein
PRK04239	DNA-binding protein
COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
pfam00664	ABC transporter ATP-binding protein/permease
CHL00053	30S ribosomal protein S7
cd04457	40S ribosomal protein S28
pfam12537	Golgi pH regulator family protein
cd04212	quinol oxidase subunit II
pfam08406	CbbQ/NirQ/NorQ/GpvN family protein
PRK07883	DEDD exonuclease domain-containing protein
pfam07484	phage tail protein
pfam04535	CASP domain-containing protein
COG2850	cupin domain-containing protein
cd03300	ABC transporter ATP-binding protein
COG1605	bifunctional chorismate mutase/prephenate dehydratase
PRK08215	RNA polymerase sporulation sigma factor SigG
cd14943	trafficking protein particle complex subunit 5
cd04133	rac-like GTP-binding protein
cd16991	ENTH domain-containing protein
pfam05532	CsbD family protein
cl28905	PIN domain-containing protein
PRK15458	tagatose-bisphosphate aldolase subunit KbaZ
cd05272	L-threonine 3-dehydrogenase
PRK13318	type III pantothenate kinase
PRK00398	DNA-directed RNA polymerase subunit P
pfam09587	CapA family protein
PRK10812	metal-dependent hydrolase
cd08563	glycerophosphodiester phosphodiesterase
cd03253	ABC transporter ATP-binding protein/permease
COG4968	pilin
cd17324	MFS transporter
PRK13682	DUF1328 domain-containing protein
PRK10017	colanic acid biosynthesis pyruvyl transferase WcaK
pfam02516	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3
PRK00458	AdoMetDC family protein
pfam13019	telomere maintenance SDE2 family protein
PRK10014	Mal regulon transcriptional regulator MalI
PLN02369	ribose-phosphate pyrophosphokinase
TIGR00330	fructose-bisphosphatase class II
cl26417	IFT57 family protein
cd19554	corticosteroid-binding globulin
cd01275	HIT domain-containing protein
pfam02607	cobalamin B12-binding domain-containing protein
cd15222	olfactory receptor family 51 protein
pfam14886	FAM183 family protein
pfam12850	metallophosphoesterase family protein
cl03012	ammonium transporter family protein
PRK12356	glutaminase
pfam03152	ubiquitin fusion degradation UFD1 family protein
TIGR00788	folate-biopterin transporter
COG2610	GntP family permease
PTZ00110	DEAD/DEAH box helicase
pfam06102	rRNA biogenesis protein RRP36
PRK00967	heavy metal-binding domain-containing protein
pfam15464	DUF4633 domain-containing protein
PRK07109	SDR family oxidoreductase
PRK07562	vitamin B12-dependent ribonucleotide reductase
COG0473	isocitrate/isopropylmalate dehydrogenase family protein
cd14958	peptidyl-alpha-hydroxyglycine alpha-amidating lyase family protein
COG0370	ferrous iron transporter B
cd17003	CTD-interacting domain-containing protein
cd13993	serine/threonine-protein kinase
COG3542	cupin domain-containing protein
cd03135	DJ-1/PfpI family protein
cd01527	rhodanese family protein
pfam13879	CFAP97 domain-containing protein
cl00891	superoxide dismutase family protein
PRK11205	thiamine ABC transporter substrate-binding protein
PRK11546	zinc resistance sensor/chaperone ZraP
PRK13291	metal-dependent hydrolase
cd18394	BTB/POZ domain-containing protein KCTD6
TIGR00348	type I restriction endonuclease subunit R
PRK12862	NADP-dependent malic enzyme
PRK04036	DNA-directed DNA polymerase II small subunit
pfam00887	acyl-CoA-binding protein
PRK15332	type III secretion system protein SpaR
pfam05055	DUF677 domain-containing protein
pfam00707	translation initiation factor IF-3
cd01928	peptidylprolyl isomerase
PTZ00361	26S proteasome regulatory subunit 4
COG0520	aminotransferase class V-fold PLP-dependent enzyme
PRK08326	R2-like ligand-binding oxidase
TIGR00823	PTS lactose/cellobiose transporter subunit IIA
cl37259	multicopper oxidase
cd07973	transcription elongation factor SPT4
PLN02521	galactokinase
cd14196	death-associated protein kinase 2
pfam14036	YlaH-like family protein
pfam00080	copper chaperone for superoxide dismutase
cd05401	glutamine-synthetase adenylyltransferase
PRK06986	RNA polymerase sigma factor FliA
MTH00158	ATP synthase Fo subunit 8
cd09811	3 beta-hydroxysteroid dehydrogenase family protein
COG1368	LTA synthase family protein
pfam06473	fibroblast growth factor-binding protein
PRK15252	fimbrial-like adhesin protein
COG5342	invasion associated locus B family protein
smart00458	RICIN domain-containing protein
pfam12671	amidase domain-containing protein
PRK14172	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
cl10851	C12orf4 family protein
cd12477	U1 small nuclear ribonucleoprotein A
PRK10286	methylated-DNA--[protein]-cysteine S-methyltransferase
cl11966	nucleotidyltransferase domain-containing protein
cd11854	SH3 domain-containing protein
cd02245	vicilin family protein
COG5082	zinc finger CCHC domain-containing protein
COG1172	ABC transporter permease
cd07856	HOG1 family mitogen-activated protein kinase
pfam03645	dynein light chain Tctex-type family protein
pfam05753	translocon-associated protein subunit beta
pfam14858	cilia- and flagella-associated protein 54
PRK11625	Rho-binding antiterminator
cl20837	DUF4505 family protein
PTZ00429	adaptin family protein
TIGR00979	class II fumarate hydratase
PRK10674	deoxyribodipyrimidine photo-lyase
PRK10418	nickel import ATP-binding protein NikD
CHL00095	ATP-dependent Clp protease ATP-binding subunit
PRK13931	5 /3 -nucleotidase SurE
PRK10723	polyphenol oxidase family protein
PRK08114	cystathionine beta-lyase
pfam08205	immunoglobulin domain-containing protein
pfam12483	E3 ubiquitin ligase family protein
smart00511	helix-loop-helix domain-containing protein
PRK09796	PTS cellobiose/arbutin/salicin transporter subunit IIBC
pfam14138	cytochrome c oxidase assembly protein COX16
cd06639	myosin-IIIb
PRK09885	type II toxin-antitoxin system YafO family toxin
pfam07450	formate hydrogenlyase maturation HycH family protein
COG3867	arabinogalactan endo-beta-1,4-galactanase
COG0596	alpha/beta hydrolase
cd02850	glycoside hydrolase family 9 protein
pfam09963	YlaI family protein
cl40741	FAD dependent oxidoreductase family protein
cd13986	serine/threonine-protein kinase
PRK00407	archease
cd08215	serine/threonine-protein kinase Nek
cd16300	NDM family subclass B1 metallo-beta-lactamase
PRK04243	50S ribosomal protein L15e
TIGR02889	germination protein YpeB
cl00322	uL1 family ribosomal protein
PRK14194	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
pfam07134	DUF1383 domain-containing protein
PRK11830	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
cd00229	SGNH/GDSL hydrolase family protein
cd10017	B3 domain-containing protein
PRK10217	dTDP-glucose 4,6-dehydratase
pfam11722	tRNA:m(4)X modification enzyme TRM13
cd12148	fungal specific transcription factor domain-containing protein
PRK11070	DHH family phosphoesterase
PRK00259	inner membrane-spanning protein YciB
TIGR00728	OPT family oligopeptide transporter
PRK13309	urease subunit alpha
pfam15765	protein TNT
cd15420	olfactory receptor subfamily 2A protein
PRK09846	recombinase RecT
TIGR00698	YeiH family protein
cd05380	CAP family protein
pfam03633	glycoside hydrolase family 65 protein
COG0060	isoleucine--tRNA ligase
pfam13116	DUF3971 domain-containing protein
cd15561	PHD finger protein 14
pfam03770	inositol polyphosphate kinase family protein
PRK10959	outer membrane protein OmpW
cd11061	cytochrome P450
PRK05711	DNA polymerase III subunit epsilon
pfam15829	DUF4711 domain-containing protein
PRK03449	membrane protein insertase YidC
pfam10969	DUF2771 domain-containing protein
cd08609	glycerophosphodiester phosphodiesterase family protein
COG1446	threonine aspartase 1
pfam10281	Ish1 domain-containing protein
COG4792	EscU/YscU/HrcU family type III secretion system export apparatus switch protein
cd18908	basic helix-loop-helix domain-containing protein
COG1840	ABC transporter substrate-binding protein
PRK12739	elongation factor G
cd07849	mitogen-activated protein kinase
cd11887	SH3 domain-containing protein
cl01067	Dyp-type peroxidase
PRK15398	aldehyde dehydrogenase EutE
TIGR01889	SarA family transcriptional regulator
PRK08610	fructose-bisphosphate aldolase
PRK07084	class II fructose-bisphosphate aldolase
PRK12652	monovalent cation/H+ antiporter subunit E
cd00693	peroxidase
cd03594	C-type lectin domain-containing protein
pfam00252	ribosomal protein L16
pfam12859	ANAPC1 domain-containing protein
pfam10180	DUF2373 domain-containing protein
pfam02652	L-lactate permease
PRK08301	RNA polymerase sporulation sigma factor SigE
cd10010	histone deacetylase 1
pfam05160	26S proteasome complex subunit SEM1
pfam10309	NCBP3 domain-containing protein
pfam01015	40S ribosomal protein S3a/S1
COG3137	YdiY family protein
cd01294	dihydroorotase
COG0571	ribonuclease III family protein
pfam05742	NRDE family protein
COG3195	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
cd07241	VOC family protein
pfam02719	polysaccharide biosynthesis protein
cd07840	CDC2/CDK family serine/threonine-protein kinase
cd13585	sugar ABC transporter substrate-binding protein
TIGR01628	polyadenylate-binding protein
PRK15405	ethanolamine utilization microcompartment protein EutL
pfam06763	phage tail protein
COG1832	CoA-binding protein
COG2893	PTS sugar transporter subunit IIA
cl34370	YlaK family protein
pfam05036	SPOR domain-containing protein
cl34900	CND1 family protein
pfam03619	OSTA/TMEM184 family protein
pfam01783	bL32 family ribosomal protein
pfam15071	transmembrane 220 family protein
cl34174	RING-HC finger protein
TIGR04539	tRNA-dependent cyclodipeptide synthase
cd14343	ubiquitin-like domain-containing protein
PRK11025	23S rRNA pseudouridine(955/2504/2580) synthase RluC
PRK15120	LPS export ABC transporter permease LptF
COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
COG4685	DUF2138 domain-containing protein
PRK15465	aminodeoxychorismate synthase component 1
PRK08540	adenylosuccinate lyase
pfam00444	ribosomal protein bL36
COG3148	tRNA-uridine aminocarboxypropyltransferase
pfam05736	OmpA family protein
pfam11121	YflJ family protein
PRK05265	pyridoxine 5 -phosphate synthase
cd22165	SKIP22 family F-box protein
PRK11086	sensor histidine kinase
pfam17281	DUF5346 domain-containing protein
PRK08032	flagellar filament capping protein FliD
PRK14159	nucleotide exchange factor GrpE
cd00501	pyroglutamyl-peptidase I
cd05283	NAD(P)-dependent alcohol dehydrogenase
pfam14926	cilia- and flagella-associated protein 300
PTZ00435	NADP-dependent isocitrate dehydrogenase
PRK05592	50S ribosomal protein L15
pfam12333	IPI1/TEX10 family protein
cd01435	DNA-directed RNA polymerase I subunit 1
pfam13679	SAM-dependent methyltransferase
PRK11427	FUSC family protein
COG0251	NAD(P)-dependent oxidoreductase
PRK08224	ATP-dependent DNA ligase
TIGR00456	arginine--tRNA ligase
pfam16182	actin-binding LIM protein
cd18101	tRNA methyltransferase 10 homolog A
pfam15365	proline-rich nuclear receptor coactivator motif-containing protein
pfam10673	YpiF family protein
pfam01196	bL17 family ribosomal protein
pfam10758	DUF2586 domain-containing protein
cl21491	serine hydrolase family protein
pfam01172	SBDS family protein
pfam14558	transient receptor potential ion channel family protein
COG4846	CcdC family protein
pfam01848	type I toxin-antitoxin system Hok family toxin
pfam05008	vesicle transport v-SNARE VTI1 family protein
cd07858	mitogen-activated protein kinase
PLN00062	TATA-box-binding protein
COG1290	cytochrome b
COG1635	thiazole biosynthesis protein
pfam02283	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
COG1047	peptidylprolyl isomerase
