Complex ac	Recommended name
CPX-1486	SCF(COI1) ubiquitin ligase complex, variant CUL2-RBX1A-ASK16
CPX-1633	Transcription factor TFIIA complex
CPX-2767	CCAAT-binding factor complex
CPX-7532	Polycomb repressive complex 1, RING2-PCGF2-CBX7-PHC3 variant
CPX-1621	TDRD3-TOP3B type IA topoisomerase complex
CPX-2903	PDGF receptor alpha-beta - PDGF-AB complex
CPX-3155	NuA4 histone acetyltransferase complex
CPX-2966	Collagen type VII trimer
CPX-1424	Tubulin alpha-beta heterodimeric complex, TUB1 variant
CPX-772	UTP-C complex variant 1
CPX-23	U1 small nuclear ribonucleoprotein complex
CPX-2933	Hemoglobin HbF Variant 2 complex
CPX-2274	Non-canonical polycomb repressive complex 1.4, RING1-YAF2 variant
CPX-2135	thiG-thiH thiazole phosphate synthase complex
CPX-2160	Hydrogen:potassium-exchanging ATPase complex
CPX-6242	Mitochondrial pyruvate dehydrogenase complex, testis-specific variant
CPX-4113	Collagen type III trimer
CPX-6050	STAT4 homodimer
CPX-5851	AMPK complex, alpha2-beta2-gamma1 variant
CPX-874	GRASP65-GM130 Golgi stacking complex
CPX-2477	 TREX-2 transcription-export complex, CETN2 variant
CPX-526	uPA-uPAR-vitronectin complex
CPX-3802	30S small ribosomal subunit
CPX-2082	Cyclin E2-CDK2 complex
CPX-2391	U4/U6.U5 small nuclear ribonucleoprotein complex
CPX-7904	SCF E3 ubiquitin ligase complex, FBXO5 variant
CPX-5143	Ubiquitous AP-1 Adaptor complex, sigma1c variant
CPX-6786	bZIP transcription factor complex, ATF7-JUN
CPX-3206	Acetyl-CoA carboxylase complex
CPX-6030	Chaperonin-containing T-complex
CPX-2312	Polycomb repressive complex 2.1, EZH2-RBBP4-PCL2-PALI1 variant
CPX-2831	ISCA1-ISCA2 mitochondrial iron-sulfur protein assembly complex
CPX-6161	Mitochondrial tRNA:m(1)R9 methyltransferase complex
CPX-1723	Collagen type IV trimer variant 1
CPX-416	Glutamyl-tRNA(Gln) amidotransferase complex
CPX-2109	DNA polymerase epsilon complex
CPX-567	Mitochondrial respiratory chain complex III
CPX-1024	PCAF histone acetylase complex
CPX-3134	Integrin alphaX-beta2 complex
CPX-1226	Muscle cell-specific SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6B-ARID1A-SMARCA4 variant
CPX-1337	WHY1 complex
CPX-2202	NMDA receptor complex, GluN1-GluN2A
CPX-811	Ska1 complex
CPX-4783	Anthranilate synthase complex
CPX-2984	GABA-A receptor, alpha-5/beta-3/gamma-2
CPX-1686	TREX-2 transcription-export complex
CPX-5029	BORC complex
CPX-6467	bZIP transcription factor complex, ATF3-BATF
CPX-6524	bZIP transcription factor complex, ATF4-BATF3
CPX-1681	Monopolin complex
CPX-2989	GABA-A receptor, alpha-4/beta-3/delta
CPX-5683	SARS-CoV-2 Spike - human ACE2 receptor complex
CPX-2625	DNA-directed RNA polymerase II complex
CPX-1365	Vesicular SNARE complex SSO1-SEC9-SNC1
CPX-248	CGRP receptor complex
CPX-7962	SCF E3 ubiquitin ligase complex, FBXO22 variant
CPX-3175	Endopeptidase ClpAP complex
CPX-1010	Calcineurin-Calmodulin complex, alpha-R1 variant
CPX-1258	Neuron-specific SWI/SNF ATP-dependent chromatin remodeling complex, ARID1B-SMARCA2 variant
CPX-1009	Calcineurin-Calmodulin complex, beta-R1 variant
CPX-2955	GABA-B receptor complex
CPX-1132	gls-1-gld-3 complex
CPX-6167	CRUMBS1-PALS1-PATJ cell polarity complex
CPX-2942	MCM complex
CPX-5883	Endoplasmic reticulum membrane complex, EMC9 variant
CPX-6593	bZIP transcription factor complex, ATF6-ATF6
CPX-2679	Glycosylphosphatidylinsitol ethanolamine-phosphate transferase III complex
CPX-689	Beta-hexosaminidase A complex
CPX-392	Mitochondrial NIAUFX iron-sulfur cluster assembly complex
CPX-6199	COG tethering complex
CPX-3032	Glutamate decarboxylase 1 complex
CPX-2028	PUMA:BCL-2 complex
CPX-95	Galectin-2 complex
CPX-1471	SCF(COI1) ubiquitin ligase complex, variant CUL2-RBX1A-SKP1A
CPX-1577	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1A-ASK21
CPX-6283	ATP8B1-CDC50B P4-ATPase complex
CPX-339	CLB6-CDC28 kinase complex
CPX-2120	Taurine dioxygenase complex, tetrameric
CPX-2246	KEOPS tRNA N6-adenosine threonylcarbamoyltransferase complex
CPX-1856	Serine/threonine-protein phosphatase PP2A variant 1
CPX-1054	Importin complex, KPNA2 variant
CPX-6526	bZIP transcription factor complex, ATF4-CEBPB
CPX-2714	Little elongation complex, ELL3 variant
CPX-2164	GABA-A receptor, alpha-6/beta-3/gamma-2
CPX-4885	DNA-directed RNA polymerase holoenzyme complex, SigmaE variant
CPX-7802	Thyrostimulin thyroid-stimulating hormone complex
CPX-1661	SPT4-SPT5 transcription elongation factor complex
CPX-1418	Spliceosomal commitment complex
CPX-2159	GABA-A receptor, alpha-1/beta-2/gamma-2
CPX-2430	NELF negative elongation factor complex
CPX-5849	AMPK complex, alpha1-beta1-gamma2 variant
CPX-2594	Polycomb repressive complex 1, RING1-PCGF2-CBX4-PHC1 variant
CPX-432	NoRC chromatin remodelling complex
CPX-1084	MqsRA toxin-antitoxin complex
CPX-5978	Phosphatidylinositol 3-kinase complex class IA, p110delta/p55gamma
CPX-293	NMDA receptor complex, GluN1-GluN2D
CPX-7723	BRAHMA SWI/SNF ATP-dependent chromatin remodeling complex
CPX-3235	Amylin receptor 1 complex
CPX-2779	Nuclear meiotic cohesin complex, SOLO-SUNN variant
CPX-2460	ESCRT-I complex, Vps37A variant
CPX-868	FET3-FTR1 high affinity iron permease complex
CPX-696	PRMT5 methylosome complex, CLNS1A variant
CPX-7728	RB1-E2F3-DP1 transcriptioal repressor complex
CPX-3085	USF1 upstream stimulatory factor complex
CPX-739	MORF2 histone acetyltransferase complex
CPX-1872	MRE11-RAD50-XRS2 meiotic recombination initiation complex
CPX-1580	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK3
CPX-8169	SEC61 protein-conducting channel complex, SEC1A2 variant
CPX-541	PCNA homotrimer
CPX-8101	VCP-NPL4-UFD1-UBXN7 AAA ATPase complex
CPX-674	Calcineurin-Calmodulin-AKAP5 complex, alpha-R1 variant
CPX-7101	bZIP transcription factor complex, BATF3-JUNB
CPX-1650	Collagen type I trimer
CPX-7541	Polycomb repressive complex 1, RING2-PCGF4-CBX2-PHC1 variant
CPX-2401	mRNA nuclear export factor NXF2-NXT2
CPX-4629	C3PO endoribonuclease complex
CPX-1694	PCL2-PHO85 kinase complex
CPX-959	General transcription factor complex TFIID, Taf4b variant
CPX-5665	Keratin-25 - Keratin-71 dimer complex
CPX-3295	SCF E3 ubiquitin ligase complex, SKP2 variant
CPX-555	6-phosphofructokinase complex
CPX-6236	Mitochondrial methylcrotonyl-CoA carboxylase complex
CPX-330	Cyclin C-CDK3 complex
CPX-7885	GID E3 ubiquitin ligase complex, GID11 variant
CPX-2672	XPC complex, RAD23A variant
CPX-2457	ESCRT-I complex, Vps37B variant
CPX-2925	Hemoglobin HbA complex, variant HBB1
CPX-1203	Brain-specific SWI/SNF ATP-dependent chromatin remodeling complex, ARID1A-SMARCA2 variant
CPX-604	UBC13-MMS2 ubiquitin-conjugating enzyme E2 complex
CPX-3216	Cry1-Per1 complex
CPX-1568	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1A-ASK12
CPX-3262	Kv4.3-KChIP1 channel complex
CPX-3186	Amylin receptor 2 complex
CPX-1095	Holo-translocon SecYEG-SecDF-YajC-YidC complex
CPX-1788	Thrombospondin 2 complex
CPX-7092	bZIP transcription factor complex, BATF3-BATF3
CPX-1507	SCF(COI1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK14
CPX-2174	GABA-A receptor, alpha-2/beta-3/gamma-2
CPX-1102	Ribonucleoside-diphosphate reductase variant 1
CPX-3066	Glutamate decarboxylase 1 complex
CPX-6588	bZIP transcription factor complex, ATF5-CEBPG
CPX-2770	CRL4-DCAF1 E3 ubiquitin ligase complex, CUL4B variant 
CPX-1405	LSM1-7-PAT1 complex, variant LSM1B-LSM3B-LSM6A-PAT1H2
CPX-953	MBD2/NuRD nucleosome remodeling and deacetylase complex
CPX-1123	FOXO3-MYC complex
CPX-1792	THO complex
CPX-2332	4EHP-GIGYF2 co-translational mRNA decay complex, ZNF598 variant
CPX-3579	Ferric-coprogen outer membrane transporter complex
CPX-3189	Skeletal muscle VGCC complex
CPX-156	PPP4C-PPP4R2 protein phosphatase 4 complex
CPX-6921	GRX4 iron-sulfur cluster assembly homodimer complex
CPX-632	RXRalpha-LXRalpha nuclear hormone receptor complex
CPX-6130	TIM23 mitochondrial inner membrane pre-sequence translocase complex, TIM17B variant
CPX-1392	LSM1-7-PAT1 complex, variant LSM1A-LSM3A-LSM6B-PAT1H1
CPX-53	iNOS-S100A8/A9 complex
CPX-3905	Caspase-2 PIDDosome
CPX-1399	LSM1-7-PAT1 complex, variant LSM1A-LSM3A-LSM6A-PAT1H2
CPX-2073	Cyclin D1-CDK4 complex
CPX-8187	Y+LAT1-4F2 heteromeric amino acid transporter complex
CPX-405	GABA-A receptor, alpha-6/beta-3/gamma-2
CPX-6422	bZIP transcription factor complex, ATF2-JUND
CPX-344	Cyclin L1-CDK11A(p58) complex
CPX-7741	LIN-10-LIN-2-LIN-7 complex, LIN7A variant
CPX-2422	DNA polymerase epsilon complex
CPX-5998	Interferon alpha receptor-ligand complex, IFNA4 variant
CPX-1048	Calcineurin-Calmodulin complex, alpha-R2 variant
CPX-2604	LIN-10-LIN-2-LIN-7 complex
CPX-139	HCN4 channel complex
CPX-7931	DNA replication factor C complex, RAD17 variant
CPX-1330	AMT1-1 homotrimer
CPX-1240	Muscle cell-specific SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6A-ARID1A-SMARCA2 variant
CPX-2074	Cyclin D2-CDK4 complex
CPX-1962	DnaA-HU complex, variant hupA
CPX-1038	PIP2-OAF1 transcription factor complex
CPX-2499	Erythrocyte spectrin complex
CPX-5787	AMPK complex, alpha2-beta1-gamma1 variant
CPX-1956	CCAAT-binding factor complex
CPX-105	Mad-Max transcriptional repressor complex
CPX-1440	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK13
CPX-2110	DNA polymerase epsilon complex
CPX-9	bZIP transcription factor complex, ATF1-ATF4
CPX-3248	Asi ubiquitin ligase complex
CPX-7099	bZIP transcription factor complex, BATF3-CEBPE
CPX-1883	HAP1 transcriptional repressor complex, SSA2 variant
CPX-3198	Voltage-gated potassium channel complex variant 1
CPX-7761	SCF E3 ubiquitin ligase complex, FBXW4 variant
CPX-7205	Signal peptidase complex, SEC11C variant
CPX-42	S100A8 complex
CPX-2828	F-actin capping protein complex
CPX-3382	Anaphase-promoting complex
CPX-147	GLI1-SUFU complex
