Complex ac	Recommended name
CPX-378	Pyruvate dehydrogenase E1 heterotetramer
CPX-1553	SCF(TIR1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK19
CPX-3171	cdm-mago-Y14 complex
CPX-3151	Adrenomedullin receptor AM2 complex
CPX-2945	MCM complex
CPX-7666	LINC complex, SUN2-KASH5 variant
CPX-3182	Methionine adenosyltransferase complex variant 1
CPX-5971	Phosphatidylinositol 3-kinase complex class IA, p110alpha/p50alpha
CPX-28	p-aminobenzoyl-glutamate hydrolase complex
CPX-5542	MutL-UvrD DNA helicase complex
CPX-6012	Interferon lambda receptor-ligand complex, IFNL2 variant
CPX-6245	Mitochondrial trifunctional enzyme complex
CPX-2440	FLCN-FNIP GTPase-activating complex, FNIP2 variant
CPX-141	ANXA2-PCSK9 complex
CPX-1078	mCRD-poly(A)-bridging complex
CPX-3217	Cry1-Per3 complex
CPX-2168	GABA-A receptor, alpha-5/beta-3/gamma-2
CPX-2757	CRL4-ERCC8 E3 ubiquitin ligase complex, CUL4A variant 
CPX-5126	RecOR complex
CPX-1050	Calcineurin-Calmodulin complex, gamma-R2 variant
CPX-6783	bZIP transcription factor complex, ATF7-FOS
CPX-1253	Neural progenitor-specific SWI/SNF ATP-dependent chromatin remodeling complex, ARID1A-SMARCA4 variant
CPX-2118	FMN reductase complex
CPX-2411	CRL4-DCAF14 E3 ubiquitin ligase complex, CUL4A variant 
CPX-6191	Scribble cell polarity complex, DLG2-LLGL1-SCRIB variant
CPX-21	Replication protein A complex
CPX-6163	Complement factor H complex
CPX-6202	Membrane attack complex
CPX-232	Snf1 protein kinase complex variant SIP1
CPX-612	bZIP transcription factor complex, Jun-Jun
CPX-2629	Ribonuclease MRP complex
CPX-1916	Fibrinogen
CPX-1617	EDS1-SAG101 complex, variant EDS1B
CPX-890	C3PO endoribonuclease complex
CPX-412	GABA-A receptor, alpha-2/beta-3/gamma-2
CPX-6521	bZIP transcription factor complex, ATF4-ATF4
CPX-7504	Polycomb repressive complex 1, RING1-PCGF4-CBX2-PHC3 variant
CPX-2058	6-phosphofructokinase, ML3 heterotetramer
CPX-4747	E3 ligase (RANBP2) complex
CPX-1436	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK9
CPX-1222	Muscle cell-specific SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6A-ARID1A-SMARCA4 variant
CPX-8085	CRL3 E3 ubiquitin ligase complex, KLHL8 variant 
CPX-2269	TORC2 complex
CPX-85	Mitotic spindle assembly checkpoint MAD1-MAD2 complex
CPX-7105	bZIP transcription factor complex, BATF3-MAFG
CPX-4721	BRCA1-B complex
CPX-333	ESCRT-III complex, variant Chmp1b2
CPX-2337	CSL-Notch-Mastermind transcriptional activation complex
CPX-1879	Replication protein A complex, RPA4 variant
CPX-399	ced-9-ced-4 complex
CPX-1456	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK8
CPX-1610	Nucleosome, variant HTA2-HTB2 
CPX-3266	CKM complex variant 1
CPX-247	Amylin receptor 2 complex
CPX-1333	RTT109-VPS75 histone acetyltransferase complex
CPX-979	Condensin I complex
CPX-707	CCR4-NOT mRNA deadenylase complex, CNOT6-CNOT7 variant
CPX-7882	SCF E3 ubiquitin ligase complex, FBXO4 variant
CPX-2311	Polycomb repressive complex 2.1, EZH2-RBBP7-PCL1-PALI1 variant
CPX-90	Mitotic spindle assembly checkpoint complex MAD2
CPX-1484	SCF(COI1) ubiquitin ligase complex, variant CUL2-RBX1A-ASK14
CPX-1103	Ribonucleoside-diphosphate reductase variant 2
CPX-2283	Non-canonical polycomb repressive complex 1.3, RING1-RYBP-CKIIA2 variant
CPX-3141	Cyclin-dependent protein kinase 5 holoenzyme complex, p39 variant
CPX-1928	SSB single-stranded DNA binding complex
CPX-119	Chromosomal passenger complex
CPX-2814	Condensin II complex
CPX-1352	LSM2-8 complex, variant LSM3A-LSM6B
CPX-678	RXRalpha-LXRbeta nuclear hormone receptor complex
CPX-3244	SCF-Das1 ubiquitin ligase complex
CPX-5322	Endosomal SNARE complex TLG2-VTI1-TLG1-SNC1
CPX-2566	Nucleosome, variant HTA1-HTB2 
CPX-1503	SCF(COI1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK10
CPX-1395	LSM1-7-PAT1 complex, variant LSM1B-LSM3A-LSM6A-PAT1H1
CPX-1064	Importin complex, KPNA6 variant
CPX-2453	Dystrophin glycoprotein complex, CNS variant
CPX-1194	Muscle cell-specific SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6A-ARID1A-SMARCA2 variant
CPX-138	Vcp-Npl4-Ufd1 AAA ATPase complex
CPX-348	Cyclin L1-CDK11B(p110) complex
CPX-3269	IkappaB kinase complex
CPX-222	Positive transcription elongation factor B, CDK9-cyclinT1 complex
CPX-5285	McrBC 5-methylcytosine-specific restriction endonuclease complex
CPX-1954	hda-beta clamp complex
CPX-7981	SCF E3 ubiquitin ligase complex, FBXO40 variant
CPX-2089	DNA polymerase alpha:primase complex
CPX-1741	Endonuclease SceI
CPX-2794	COG tethering complex
CPX-8105	VCP-NPL4-UFD1-UBXN1 AAA ATPase complex
CPX-8190	XCT-4F2 heteromeric amino acid transporter complex
CPX-7583	Non-canonical polycomb repressive complex 1.5, RING1-RYBP-CKIIA1 variant
CPX-2169	Protein geranylgeranyl transferase type I complex
CPX-1665	DNA ligase IV complex
CPX-436	EMILIN-2 complex
CPX-1975	Formate dehydrogenase N complex
CPX-6461	RFX gene regulatory complex
CPX-6903	TRAPP III complex, TRAPPC2B variant
CPX-2113	GroEL-GroES complex
CPX-1764	Collagen type XXIII trimer
CPX-431	Eukaryotic translation initiation factor 4F complex, variant TIF4632
CPX-1585	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK8
CPX-1413	VPS55-VPS68 sorting complex
CPX-6937	GRX7 iron-sulfur cluster assembly homodimer complex
CPX-2929	Hemoglobin Portland-2 complex
CPX-3762	Apoptosome
CPX-2153	UvrBC excinuclease repair complex
CPX-2186	SHU complex
CPX-3191	Skeletal muscle VGCC complex
CPX-4122	NLGN1(+SSA+SSB) - NRXN1-beta(-SS4) complex
CPX-1908	BBSome complex
CPX-6603	Gamma-delta T cell receptor complex, TRGC2 variant
CPX-2727	Adaptor complex AP-3
CPX-6741	CD8alpha-beta complex
CPX-2923	RSP5-BUL2 ubiquitin ligase complex
CPX-586	MUS81-EME2 structure-specific endonuclease complex
CPX-5661	Keratin-8 - Keratin-18 dimer complex
CPX-6133	SAM mitochondrial sorting and assembly machinery complex
CPX-1354	LSM2-8 complex, variant LSM3B-LSM6B
CPX-1415	IME1-UME6 transcription activation complex
CPX-6124	TIM22 mitochondrial inner membrane twin-pore carrier translocase complex
CPX-3210	Cry2-Per2 complex
CPX-1698	EMP24 complex
CPX-3562	PYL2 ABA receptor complex
CPX-553	Mitochondrial isocitrate dehydrogenase complex (NAD+)
CPX-6563	bZIP transcription factor complex, ATF4-JUNB
CPX-1710	Carboxy-terminal domain protein kinase complex
CPX-7966	SCF E3 ubiquitin ligase complex, FBXO27 variant
CPX-4229	GBAF (SWI/SNF) ATP-dependent chromatin remodeling complex, ACTL6B-BICRA-SMARCA4 variant
CPX-5904	CD94-NKG2E natural killer receptor complex
CPX-1087	YoeB-YefM toxin-antitoxin complex
CPX-3089	EFF-1 complex
CPX-779	Elongator holoenzyme complex
CPX-2334	NatA N-alpha-acetyltransferase complex
CPX-2871	BUD23-TRM112 methyltransferase complex
CPX-3137	Ryanodine 2 complex
CPX-3386	COP9 signalosome complex
CPX-2655	SMC5-SMC6 SUMO ligase complex, cerv variant
CPX-5968	D-mannose-specific enzyme II complex
CPX-2846	PeBoW complex
CPX-725	mRNA nuclear export factor NXF1-NXT1
CPX-4	Collagen type V trimer variant 2
CPX-6407	bZIP transcription factor complex, ATF2-ATF3
CPX-1727	Collagen type V trimer variant 1
CPX-2179	Muscle-type nicotinic acetylcholine receptor complex, alpha1-beta1-delta-gamma
CPX-5991	Nuclear mitotic cohesin complex, STAG2 variant
CPX-109	Beta-catenin destruction core complex, APC-AXIN1-GSK3B variant
CPX-3024	Thrombospondin 3 complex
CPX-3037	PMT1-PMT3 dolichyl-phosphate-mannose-protein mannosyltransferase complex
CPX-3586	WHY3 complex
CPX-3889	Katanin complex
CPX-5943	Glucose-specific enzyme II complex
CPX-2426	DNA polymerase zeta complex
CPX-3224	Cry2-Per3 complex
CPX-1891	RPB4-RPB7 subcomplex
CPX-5911	Replication restart primosome complex, priC-rep variant
CPX-2882	PDGF receptor beta - PDGF-BB complex
CPX-4625	ubc-13-uev-1 ubiquitin-conjugating enzyme E2 complex
CPX-5304	Endoplasmic reticulum snare complex UFE1-USE1-SEC20-SEC22
CPX-1527	SCF(TIR1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK14
CPX-1044	GAL4-GAL80 transcription repressor complex
CPX-2091	DNA polymerase alpha:primase complex
CPX-2079	Cyclin D3-CDK6 complex
CPX-636	ISW1b chromatin remodeling complex
CPX-8070	SCC2-SCC4 cohesin loader complex
CPX-2852	THUMPD2-TRM112 methyltransferase complex
CPX-1302	OPY2-MSB2 osmosensory complex
CPX-4116	Collagen type V trimer variant 1
CPX-1999	6-phosphofructokinase, P4 homotetramer
CPX-8064	CRL3 E3 ubiquitin ligase complex, KLHL6 variant 
CPX-6226	GATOR1 complex
CPX-2932	Hemoglobin HbF Variant 1 complex
CPX-328	Atg12-Atg5-Atg16l1 complex
CPX-7745	LIN-10-LIN-2-LIN-7 complex, LIN7C variant
CPX-2003	Cyclin A1-CDK1 complex
CPX-2252	KEOPS tRNA N6-adenosine threonylcarbamoyltransferase complex
CPX-143	HCN2 channel complex
CPX-1092	Succinyl-CoA synthetase
CPX-2100	DNA polymerase delta complex
CPX-1464	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK16
CPX-584	RXRalpha-RARalpha retinoic acid receptor complex
CPX-1444	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK17
CPX-1781	Laminin-213 complex
CPX-538	PCNA homotrimer
CPX-303	Mitochondrial pyruvate carrier, respiratory isoform
CPX-1886	Post-mRNA release spliceosomal complex
CPX-1316	NRD1 snoRNA termination complex
CPX-1562	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1A-ASK6
CPX-2688	UTP-B complex
CPX-5201	Glycyl-tRNA synthetase complex
CPX-7096	bZIP transcription factor complex, BATF3-CEBPB
CPX-2609	Polycomb repressive complex 1, RING1-PCGF2-CBX2-PHC2 variant
CPX-980	Condensin I complex
CPX-5464	Vesicular SNARE complex SSO1-SPO20-SNC1
CPX-2563	Wnt enhanceosome complex
CPX-5644	Kinetochore KNL1 complex
CPX-1469	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK21
CPX-2806	NPHP transition zone complex
CPX-1705	BUD14-GLC7 phosphatase complex
CPX-5226	39S mitochondrial large ribosomal subunit
CPX-2768	Histone pre-RNA core cleavage complex
CPX-5967	L-ascorbate-specific enzyme II complex
CPX-2130	CST complex
CPX-2550	Non-canonical polycomb repressive complex 1.6, RING1-YAF2 variant
CPX-6822	Glucosidase II complex
CPX-2892	PDGF receptor alpha-beta - PDGF-AB complex
CPX-5424	Endosomal SNARE complex PEP12-VTI1-SYN8-SNC1
CPX-455	RSF complex
CPX-948	S-adenosylmethionine synthase, MAT2A-MAT2B variant
CPX-2557	Non-canonical polycomb repressive complex 1.6, RING2-YAF2 variant
CPX-6094	HOXD10-Geminin transcriptional repressor complex
CPX-1493	SCF(COI1) ubiquitin ligase complex, variant CUL2-RBX1B-SKP1B
CPX-316	beta1-catenin - LEF1 complex
CPX-5833	NF-kappaB DNA-binding transcription factor complex, p50/RelB
CPX-2865	Glutamate-cysteine ligase complex
CPX-1738	Phenylalanyl-tRNA synthetase complex
CPX-5662	Keratin-1 - Keratin-10 dimer complex
CPX-5850	Histone-lysine N-methyltransferase complex, KMT2A variant
CPX-2218	FEB1B-Elongin C-Elongin B E3 ubiquitin ligase complex
CPX-3401	Interleukin-17-like receptor complex
CPX-126	Sodium:potassium-exchanging ATPase complex
CPX-400	Bub-1-Bub-3 complex
CPX-5622	Oligosaccharyltransferase complex B
CPX-7516	Polycomb repressive complex 1, RING1-PCGF4-CBX8-PHC1 variant
CPX-2129	CST complex
CPX-1068	Importin complex, KAP60-KAP95
CPX-4402	mTORC2 complex
CPX-1807	Rad17 RFC-like complex
CPX-1913	BLOC-1 complex
CPX-425	Elongation Factor eEF1 complex, variant TEF4
CPX-166	Dehydrodolichyl diphosphate synthase complex variant SRT1
CPX-1808	GCN1-GCN20 complex
CPX-478	ERCC1-XPF endonuclease complex
CPX-1683	DBF2-MOB1 kinase complex
CPX-7588	Non-canonical polycomb repressive complex 1.5, RING2-RYBP-CKIIA1-A2 variant
CPX-1827	Integrin alphaX-beta2 complex
CPX-6021	SdsRQP multidrug transport complex
CPX-2320	Polycomb repressive complex 2.1, EZH1-RBBP7-PCL2-EPOP variant
CPX-356	ATG5-ATG12 complex
CPX-1771	Laminin-211 complex
CPX-282	Hydrogenase-2 complex
CPX-2007	Cyclin B1-CDK1 complex
CPX-2051	6-phosphofructokinase, L4 homotetramer
CPX-4387	Thiamine ABC transporter complex
CPX-4524	Reelin complex
CPX-466	Tenascin-C complex
CPX-598	Exosome complex, Dis3 variant
CPX-1288	MEI5-SAE3 recombination assembly factor complex
CPX-4468	YphDEF ABC transporter complex
CPX-590	Calcineurin complex variant 2
CPX-2750	Poly(A) tail exosome targeting complex, RBM26 variant
CPX-1171	WASH complex, variant WASH6P/WASHC2C
CPX-3144	Cyclin-dependent protein kinase 5 holoenzyme complex, p25 variant
CPX-1370	SNO1-SNZ1 pyridoxal 5 -phosphate synthase complex
CPX-7514	Polycomb repressive complex 1, RING1-PCGF4-CBX7-PHC2 variant
CPX-3576	Ferric-citrate outer membrane transporter complex
CPX-1946	dnaB helicase complex
CPX-1206	SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6A-ARID1B-SMARCA4 variant
CPX-1276	HMC complex
CPX-983	ICAP1-KRIT1 integrin activation complex
CPX-1789	Thrombospondin 3 complex
CPX-7095	bZIP transcription factor complex, BATF3-CEBPA
CPX-5027	Intraflagellar transport complex A
CPX-507	Vapa-Osbp complex
CPX-920	SAGA complex, KAT2A variant
CPX-2137	csdA L-cysteine desulfurase complex
CPX-422	ELG1-RFC complex 
CPX-1927	DNA polymerase III, beta sliding clamp processivity factor complex
CPX-1955	SeqA-DNA complex
CPX-2581	2-(3-amino-3-carboxypropyl)histidine synthase complex
CPX-2649	PEX2-PEX10-PEX12 E3 ubiquitin ligase complex
CPX-2107	MacAB-TolC ABC transporter complex
CPX-1167	CUL8-MMS1-ORC5 E3 ubiquitin ligase complex
CPX-3007	Collagen type XXVI trimer
CPX-1571	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1A-ASK15
CPX-472	DNA replication factor C complex
CPX-7550	Polycomb repressive complex 1, RING2-PCGF4-CBX6-PHC3 variant
CPX-6043	STAT3/STAT5A complex
CPX-3116	Integrin alphaIIb-beta3 complex
CPX-322	Positive transcription elongation factor B, CDK9-cyclinT2b complex
CPX-1818	Integrin alpha11-beta1 complex
CPX-32	U4/U6 small nuclear ribonucleoprotein complex
CPX-1348	LSM1-7-PAT1 complex, variant LSM1B-LSM3B-LSM6A-PAT1
CPX-6086	SMC5-SMC6 SUMO ligase complex, NSE4EA variant
CPX-679	RXRalpha-LXRbeta nuclear hormone receptor complex
CPX-2196	Polycomb repressive complex 2.1, EZH1-RBBP4-PCL3-PALI1 variant
CPX-3281	Mitochondrial proton-transporting ATP synthase complex
CPX-537	cAMP-dependent protein kinase complex variant 2
CPX-6266	Fanconi anemia FANCM-FAAP24-MHF anchoring complex
CPX-3072	Voltage-gated potassium channel complex variant 1
CPX-747	Piccolo NuA4 histone acetyltransferase complex 
CPX-4022	ATP synthase complex
CPX-4344	Oligopeptide ABC transporter complex
CPX-429	Eukaryotic translation initiation factor 2B complex
CPX-3280	Cardiac Troponin complex
CPX-5606	GEL multi-spanning membrane protein insertion complex
CPX-2589	Actin-related protein 2/3 complex, Arpc3B variant
CPX-5341	DBF20-MOB1 kinase complex
CPX-341	Cyclin L1-CDK11A(p110) complex
CPX-7241	Mitochondrial transcription initiation complex
CPX-3018	Laminin-213 complex
CPX-5625	Ornithine transcarbamoylase complex, argFII variant
CPX-3963	Caspase-2 PIDDosome
CPX-964	GTPase-Activating Protein BFA1-BUB2 complex
CPX-3563	PYL3 ABA receptor complex
CPX-3882	daf-16-ftt-2 complex
CPX-4883	DNA-directed RNA polymerase holoenzyme complex, SigmaS variant
CPX-2439	ELBA boundary factor complex
CPX-1154	CPAP-STIL complex
CPX-6134	Phagocyte NADPH oxidase complex, RAC2 variant
CPX-8102	CRL3 E3 ubiquitin ligase complex, KLHL16 variant 
CPX-5762	rcsAB DNA-binding transcription factor complex
CPX-2146	SYP1 endocytic adapter complex
CPX-3166	Laminin-311 complex variant B
CPX-7782	SFPQ RNA-binding homodimer
CPX-2270	TSC1-TSC2 complex
CPX-2598	Polycomb repressive complex 1, RING1-PCGF2-CBX6-PHC3 variant
CPX-663	p53-MDM4 transcriptional regulation complex
CPX-3086	USF1-USF2 upstream stimulatory factor complex
CPX-841	WICH chromatin remodelling complex
CPX-8062	Mitochondrial pyruvate carrier complex, testis variant
CPX-6310	ATP11A-CDC50A P4-ATPase complex
CPX-2780	Nuclear meiotic cohesin complex, C2M-SA variant
CPX-3888	SDC complex
CPX-5050	Endothelial AP-1 Adaptor complex, sigma1a variant
CPX-2519	MXD1-MLX transcriptional repressor complex
CPX-2531	MKS transition zone complex
CPX-668	RARalpha-NCOA2 activated retinoic acid receptor complex
CPX-2047	Ku70:Ku80 complex
CPX-2723	ISA1-ISA2-IBA57 mitochondrial iron-sulfur protein assembly complex
CPX-160	RB1-E2F1-DP1 transcriptional repressor complex
CPX-2285	Non-canonical polycomb repressive complex 1.3, RING1-RYBP-CKIIA1-A2 variant
CPX-3118	integrin alpha4-beta1 complex
CPX-7020	PAT intramembrane chaperone complex
CPX-512	Granulocyte-macrophage colony-stimulating factor-receptor complex
CPX-3624	Alternative nuclear cap-binding complex
CPX-7590	Non-canonical polycomb repressive complex 1.5, RING2-YAF2-CKIIA2 variant
CPX-863	INO80 chromatin remodeling complex
CPX-2711	Super elongation complex
CPX-3446	TrpAB tryptophan synthase complex
CPX-2520	MXD4-MLX transcriptional repressor complex
CPX-4348	Nickel ABC transporter complex
CPX-4462	Prolow-density lipoprotein receptor-related protein 1 complex
CPX-6046	STAT3/STAT4 complex
CPX-2976	Collagen type XI trimer variant 2
CPX-6661	HOP2-MND1 recombination assembly factor complex
CPX-377	Pyruvate dehydrogenase E1 heterotetramer
CPX-5061	BORC complex
CPX-7063	bZIP transcription factor complex, BATF2-JUN
CPX-2512	SCF E3 ubiquitin ligase complex, FBXL4 variant
CPX-2525	MLXIP-MLX transcription factor complex
CPX-1041	DASH complex
CPX-2224	Larval serum protein complex
CPX-384	CBP3-CBP6 complex
CPX-355	Atg12-Atg5-Atg16l2 complex
CPX-6663	Serine palmitoyltransferase complex, SPTLC1-SPTLC2-SPTSSA variant
CPX-6643	RQT ribosome-associated quality control trigger complex
CPX-452	Beta-catenin destruction core complex, Apc2-Axin2-Gsk3b
CPX-1670	MUS81-MMS4 structure-specific endonuclease complex
CPX-8147	CRL3 E3 ubiquitin ligase complex, KLHL29 variant 
CPX-2373	General transcription factor TFIIIC complex
CPX-3108	Collagen type XI trimer variant 1
CPX-4443	Sodium/lithium ABC transporter complex
CPX-4004	Hsp90-daf-41 chaperone complex
CPX-867	DBF4-dependent CDC7 kinase complex
CPX-2895	Superoxide dismutase 1 copper chaperone
CPX-5984	Phosphatidylinositol 3-kinase complex class IA, p110delta/p55alpha
CPX-3241	SCF-Grr1 ubiquitin ligase complex
CPX-793	XRCC1 DNA repair complex
CPX-2963	Collagen type V trimer variant 2
CPX-2662	DNA-directed RNA polymerase II complex
CPX-5001	CPLANE complex
CPX-1859	Serine/threonine-protein phosphatase PP2A variant 3
CPX-6582	Gamma-delta T cell receptor complex, TRGC1 variant
CPX-3255	SCF-Hrt3 ubiquitin ligase complex
CPX-1598	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK21
CPX-1407	ECM11-GMC2 synaptonemal assembly activation factor complex
CPX-2268	TIM9-TIM10 mitochondrial intermembrane space protein transporter complex
CPX-5146	Ubiquitous AP-3 Adaptor complex, sigma3b variant
CPX-5986	Phosphatidylinositol 3-kinase complex class IB, p110gamma/p101
CPX-1850	Anthranilate synthase complex
CPX-445	Multimerin-1 complex
CPX-709	Piccolo NuA4 histone acetyltransferase complex 
CPX-7502	Polycomb repressive complex 1, RING1-PCGF4-CBX2-PHC2 variant
CPX-91	MYC-MAX transcriptional activator complex
CPX-4322	Cyclin-dependent protein kinase 5 holoenzyme complex
CPX-659	CDT1-Geminin complex
CPX-494	tPA-PAI-1 complex
CPX-2366	Myb-MuvB transcriptional activation complex
CPX-5715	Nucleosome, variant H3.1-H2A.Z-H2B.1
CPX-2220	ZYG11B-Elongin C-Elongin B E3 ubiquitin ligase complex
CPX-2307	Polycomb repressive complex 2.1, EZH1-RBBP7-PCL1-PALI1 variant
CPX-2389	Prefoldin co-chaperone complex
CPX-1978	Enzyme IIA-maltose transport inhibitory complex
CPX-1941	Exon junction core complex, MAGOH variant
CPX-1305	SLBP-SLIP1 complex
CPX-274	5-hydroxytryptamine-3A receptor complex
CPX-1673	Replication fork protection complex
CPX-481	MCL-1-BIM complex
CPX-2482	bZIP transcription factor complex, BACH2-MAFK
CPX-1261	Brain-specific SWI/SNF ATP-dependent chromatin remodeling complex, ARID1A-SMARCA2 variant
CPX-3039	PMT4 dolichyl-phosphate-mannose-protein mannosyltransferase complex
CPX-2340	Male specific lethal complex
CPX-941	mRNA cleavage factor I(m) complex, CPSF6 variant
CPX-2385	Hypoxia-inducible transcription factor complex, HIF2
CPX-2907	PDGF receptor alpha-beta - PDGF-BB complex
CPX-3209	Cry1-Per2 complex
CPX-1932	Maltose ABC transporter complex
CPX-3232	CKM complex variant 1
CPX-5844	AMPK complex, alpha2-beta1-gamma2 variant
CPX-8162	Radial spoke complex, flagellar variant
CPX-3239	Kv4.2-KChIP2 channel complex
CPX-3300	Collagen type V trimer variant 1
CPX-5868	Keratin-8 - Keratin-18 dimer complex
CPX-2743	ATG12-ATG5-ATG16 complex
CPX-7665	60S cytosolic large ribosomal subunit, striated muscle variant
CPX-1162	Fatty-acyl-CoA synthase
CPX-1679	TRAMP complex variant 4-2
CPX-3984	Hsp90-Cdc37 chaperone complex
CPX-804	MORF3 histone acetyltransferase complex
CPX-7525	Polycomb repressive complex 1, RING2-PCGF2-CBX4-PHC3 variant
CPX-1135	Sand-1-ccz-1 complex
CPX-2912	PDGF receptor alpha - PDGF-CC complex
CPX-4602	FtsEX ABC cell division complex
CPX-1388	bicd-1-dlc-1-egal-1 microtubule-associated dynein motor complex
CPX-6474	bZIP transcription factor complex, ATF3-JUN
CPX-764	Anaphase-Promoting Complex variant 2
CPX-2494	bZIP transcription factor complex, BACH1-CREB1
CPX-8126	CRL3 E3 ubiquitin ligase complex, KLHL25 variant 
CPX-1593	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK16
CPX-517	PXR-NCOA1 activated nuclear receptor complex
CPX-1817	Integrin alpha10-beta1 complex
CPX-2707	tRNA-intron splicing endonuclease complex
CPX-380	ULK1-ATG13-RB1CC1-ATG101 autophagy initiation complex
CPX-6002	Interferon alpha receptor-ligand complex, IFNA10 variant
CPX-1294	Mitochondrial ribonuclease P complex
CPX-2122	Swr1 chromatin remodelling complex
CPX-6192	Scribble cell polarity complex, DLG1-LLGL1-SCRIB variant
CPX-2578	Polycomb repressive complex 1, Psc variant
CPX-1731	CTF18-RFC complex
CPX-3122	Integrin alpha8-beta1 complex
CPX-1234	SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6A-ARID1B-SMARCA2 variant
CPX-1210	SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6B-ARID1B-SMARCA2 variant
CPX-3323	SIN3A histone deacetylase complex, ES cell-specific variant
CPX-1057	Importin complex, KPNA3 variant
CPX-6155	Mitochondrial ribonuclease P complex
CPX-1274	Glycosylphosphatidylinositol-N-acetylglucosaminyltransferase complex
CPX-8185	LAT1-4F2 heteromeric amino acid transporter complex.
CPX-1236	SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6B-ARID1A-SMARCA2 variant
CPX-2044	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 complex
CPX-1178	Cytoplasmic dynein complex
CPX-1641	GINS complex
CPX-1642	General transcription factor complex TFIID
CPX-360	ATG5-ATG12-TECPR1 complex
CPX-372	Zyg-9/Tac-1 complex
CPX-1187	COMA complex
CPX-4107	Thrombospondin 1 complex
CPX-1019	Tenascin-R complex
CPX-1969	Cyclin C-CDK8 complex
CPX-1777	Laminin-411 complex
CPX-1656	General transcription factor TFIIIC complex
CPX-2060	6-phosphofructokinase, M3L heterotetramer
CPX-4426	BRCA1-B complex
CPX-46	LSM2-7 complex
CPX-684	Mating-type MATalpha2-MATa1 complex
CPX-6861	BOLA2-GLRX3 iron-sulfur cluster assembly complex
CPX-1985	BIM:BCL-XL complex
CPX-1449	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1B-SKP1A
CPX-2473	bZIP transcription factor complex, BACH2-NFE2L1
CPX-6011	Interferon lambda receptor-ligand complex, IFNL1 variant
CPX-468	eNoSc complex
CPX-6782	bZIP transcription factor complex, ATF7-CEBPG
CPX-2951	GABA-A receptor, alpha-6/beta-3/delta
CPX-978	NuA4 histone acetyltransferase complex
CPX-3011	Laminin-221 complex
CPX-2820	COPI vesicle coat complex
CPX-1012	Tenascin-W complex
CPX-1930	DXP reductoisomerase complex
CPX-2167	GABA-A receptor, alpha-1/beta-3/gamma-2
CPX-1077	Chemotaxis phosphorelay complex CheA-CheY
CPX-4948	NLRP1 inflammasome, variant 2
CPX-6581	Alpha-beta T cell receptor complex, TRBC1 variant
CPX-2206	GRXD iron-sulfur cluster assembly homodimer complex
CPX-142	HCN2 channel complex
CPX-1097	C-to-U editosome complex
CPX-7667	LINC complex, SUN2-SYNE1 variant
CPX-2412	CRL4-DCAF14 E3 ubiquitin ligase complex, CUL4B variant 
CPX-7670	LINC complex, SUN1-SYNE2 variant
CPX-613	SOSS1 complex
CPX-795	HBO1-4.2 histone acetyltransferase complex
CPX-4301	M-Calpain complex
CPX-3064	Glutamate decarboxylase 1/2 complex
CPX-6602	L-lactate dehydrogenase C complex
CPX-6385	bZIP transcription factor complex, ATF3-ATF4
CPX-3163	Sulfite reductase complex (NADPH)
CPX-2183	Hydrogen:potassium-exchanging ATPase complex
CPX-2042	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 complex
CPX-1986	PUMA:BCL-2 complex
CPX-6097	Luteinizing hormone complex
CPX-294	NMDA receptor complex, GluN1-GluN2A-GluN2B
CPX-6276	DNA (cytosine-5)-methyltransferase 3B complex
CPX-6418	bZIP transcription factor complex, ATF2-FOSL2
CPX-20	TERT-RMRP complex
CPX-385	CFD1-NBP35 Fe-S cluster assembly complex
CPX-1618	EDS1-PAD4 complex, variant EDS1B
CPX-583	Trehalose-6-phosphate synthase/phosphatase complex, tsl1 variant
CPX-1611	Nucleosome, variant HTA2-HTB1 
CPX-1125	BUG1-GRH1 complex
CPX-891	DSIF transcription elongation factor complex
CPX-7166	ESCRT-I complex, VPS37C-MVB12B variant
CPX-3243	SCF-Ufo1 ubiquitin ligase complex
CPX-89	CCAAT-binding factor complex
