DiseaseID	DiseaseName
MESH:C562903	Male Infertility with Large-Headed, Multiflagellar, Polyploid Spermatozoa
DOID:1919	Lesch-Nyhan syndrome
MESH:C567407	Cardiomyopathy, Dilated, 1AA
MESH:D010211	Papilledema
DOID:2348	Arteriosclerotic cardiovascular disease
MESH:D017096	Prion Diseases
MESH:C566879	Xeroderma Pigmentosum, Type G-Cockayne Syndrome
MESH:C567340	Spondylocheirodysplasia, Ehlers-Danlos Syndrome-Like
MESH:C564015	Parkinson Disease, Mitochondrial
DOID:4674	Androgen insensitivity syndrome
MESH:C566601	Episodic Ataxia, Type 5
MESH:C536657	Periodic fever, familial, autosomal dominant
DOID:0050720	Ornithine translocase deficiency
MESH:D029461	Sialic Acid Storage Disease
MESH:C567715	Polymicrogyria With Optic Nerve Hypoplasia
MESH:D058747	CHARGE Syndrome
MESH:D001139	Arnold-Chiari Malformation
MESH:D018246	Adrenocortical Adenoma
MESH:D002189	Marijuana Abuse
MESH:C567018	Mental Retardation, Autosomal Recessive 5
DOID:0080918	Polymicrogyria
MESH:C567862	Three M Syndrome 2
MESH:C535408	Gamma-cystathionase deficiency
MESH:D006685	Hoarseness
MESH:D002532	Intracranial Aneurysm
MESH:D003967	Diarrhea
MESH:C538655	Hepatorenal form of glycogen storage disease
DOID:0111679	Glutamate formiminotransferase deficiency
DOID:11589	Riley-Day syndrome
MESH:D009122	Muscle Hypertonia
DOID:0080074	Neural tube defect
MESH:C537177	Kufor-Rakeb syndrome
MESH:D056731	Donohue Syndrome
MESH:D011542	Pseudarthrosis
MESH:D057088	Anetoderma
MESH:C564257	Charcot-Marie-Tooth Disease, Dominant Intermediate C
MESH:D008103	Liver Cirrhosis
MESH:C563659	Holoprosencephaly 9
MESH:C562875	Complement Factor H Deficiency
MESH:D010282	Parathyroid Neoplasms
MESH:C567275	Craniodiaphyseal Dysplasia, Autosomal Dominant
MESH:C538387	Hypertelorism with esophageal abnormality and hypospadias
MESH:C536289	Immunodeficiency without anhidrotic ectodermal dysplasia
MESH:D007246	Infertility
DOID:13994	Cleidocranial dysplasia
MESH:D009087	Mucopolysaccharidosis VI
MESH:C537406	Bruck syndrome 1
DOID:8515	Cor pulmonale
MESH:C567618	Bronchiectasis With Or Without Elevated Sweat Chloride 1
MESH:C564494	Mental Retardation, X-Linked, Syndromic, Jarid1c-Related
MESH:C536973	Total Hypotrichosis, Mari type
MESH:C563463	Carnitine Palmitoyltransferase II Deficiency, Lethal Neonatal
MESH:D004238	Diverticulitis
MESH:D016738	Alagille Syndrome
DOID:0080697	Opitz GBBB syndrome
MESH:D007906	Lens Subluxation
DOID:3211	Lysosomal storage disease
DOID:863	Nervous system disease
DOID:0080125	Mitochondrial DNA depletion syndrome 6
MESH:C535602	Doyne honeycomb retinal dystrophy
MESH:D006509	Hepatitis B
ICD10:H472	Unspecified optic atrophy
DOID:1432	Blindness
MESH:C576976	Hypothyroidism, Congenital, Nongoitrous, 1
MESH:C567492	Pituitary Hormone Deficiency, Combined, 4
MESH:C564024	Hypomagnesemia, Hypertension, and Hypercholesterolemia, Mitochondrial
DOID:2729	Dyskeratosis congenita
DOID:14040	Autoimmune polyendocrine syndrome
MESH:D013610	Tachycardia
MESH:C536446	Corpus callosum agenesis neuronopathy
DOID:1928	Williams-Beuren syndrome
MESH:D013163	Splenomegaly
DOID:9263	Homocystinuria
MESH:D012561	Schizophrenia, Childhood
MESH:C535845	Hawkinsinuria
MESH:C567379	MYD88 Deficiency
MESH:C535830	Pseudovaginal Perineoscrotal Hypospadias
MESH:C535395	Atelosteogenesis type 2
DOID:4997	Camurati-Engelmann disease
MESH:C563958	Diabetes Mellitus, Insulin-Dependent, 5
DOID:0060004	Autoimmune disease of central nervous system
MESH:C566936	Gallbladder Disease 4
MESH:C535380	Arthrogryposis multiplex congenita, distal, X-linked
MESH:C563311	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, NK Cell-Positive
DOID:9834	Hyperopia
MESH:D004677	Encephalocele
MESH:C566897	Plasminogen Deficiency, Type I
DOID:0060744	Pendred Syndrome
DOID:0111357	Adermatoglyphia
MESH:C537975	CATSHL syndrome
MESH:D007849	Laurence-Moon Syndrome
MESH:C575534	Ceroid lipofuscinosis, neuronal 5
DOID:0060083	Immune system cancer
MESH:C563032	Preterm Premature Rupture of the Membranes
MESH:D002973	Cleidocranial Dysplasia
DOID:12271	Aniridia
ICD10:D569	Thalassemia  unspecified
DOID:0050632	Oculocutaneous albinism
MESH:C536397	Neonatal Systemic lupus erythematosus
MESH:C567010	Deafness, Sensorineural, And Male Infertility
MESH:C536081	Hydroxykynureninuria
MESH:C562464	Polyposis, Gastric
MESH:C537710	Lymphedema distichiasis syndrome
MESH:D019189	Iron Metabolism Disorders
MESH:D000419	Albuminuria
